video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=V82oUxlZsy4&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,Welcome to UW Tacoma,5.8K,2 years,The University of Washington Tacoma / Be Boundless Website: http://www.tacoma.uw.edu Facebook: ...,2024-01-23 19:31:49.432017
/watch?v=xL9hLuypeCE&pp=ygUJdXcgdGFjb21h,/@UniversityWalkTour,University Walk Tour,University of Washington (Tacoma Campus) - Virtual Walking Tour [4k 60fps],343,1 month,Walking on the University of Washington Tacoma campus on a cloudy winter day. The campus is located on a hillside at the ...,2024-01-23 19:31:49.437423
/watch?v=BRnaSTpAXq4&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,"DAWG BITES - April 29, 2023 / UW Tacoma",850,8 months,"Our entire UW Tacoma campus united in a community celebration of Spring with glassblowing, high school bands and Tacoma's ...",2024-01-23 19:31:49.439140
/watch?v=gQCWlfZUsnM&pp=ygUJdXcgdGFjb21h,/@uwtacomaadmissions,UW Tacoma Admissions,UW Tacoma Virtual Campus Tour,6.2K,3 years,"Join the Campus Ambassadors at UW Tacoma for a virtual campus tour. They'll discuss our campus, student life, classes, and ...",2024-01-23 19:31:49.440902
/watch?v=3YgSlmxTbZE&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,Growth / UW Tacoma,4.5K,6 years,"We can expand UW Tacoma “up the hill” for tomorrow. With the support of loyal and new donors, our building plans will be guided ...",2024-01-23 19:31:49.453768
/watch?v=j5FcNpGIvfU&pp=ygUJdXcgdGFjb21h,/@UWTacomaExtended,UW Tacoma Extended,One Bedroom Room Tour Court 17 Summer 2021 / UW Tacoma,3K,2 years,https://www.tacoma.uw.edu/housing --- The University of Washington Tacoma / Be Boundless Website: http://www.tacoma.uw.edu ...,2024-01-23 19:31:57.702329
/watch?v=nIWwniH7PLc&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,Discover UW Tacoma,969,6 years,"What is life at UW Tacoma like? Well, since campus is located in the heart of downtown, there are a ton of things to do after class.",2024-01-23 19:31:57.705404
/watch?v=RRFYyo7XJF4&pp=ygUJdXcgdGFjb21h,/@UWTacomaExtended,UW Tacoma Extended,UW Tacoma Graduation Commencement 2023,8.5K,Streamed 7 months,The University of Washington Tacoma / Be Boundless Website: http://www.tacoma.uw.edu Facebook: ...,2024-01-23 19:31:57.708191
/watch?v=oMSCas0dpfs&pp=ygUJdXcgdGFjb21h,/@UWTacomaExtended,UW Tacoma Extended,Two Bedroom Room Tour Court 17 Summer 2021 / UW Tacoma,3.7K,2 years,https://www.tacoma.uw.edu/housing --- The University of Washington Tacoma / Be Boundless Website: http://www.tacoma.uw.edu ...,2024-01-23 19:31:57.710712
/watch?v=vAFkXShjOiw&pp=ygUJdXcgdGFjb21h,/@uwtacomaadmissions,UW Tacoma Admissions,Life on Campus,246,7 months,I think that UWT is a really great campus because we are situated in the heart of downtown. You have your classrooms right next ...,2024-01-23 19:31:57.713547
/watch?v=mygli2TVKHE&pp=ygUJdXcgdGFjb21h,/@PNW4K,PNW 4K,"4K Walk In Tacoma, WA USA - Downtown , Glass Museum, University of Washington UW Tacoma Campus",931,1 year,"Exploring downtown Tacoma WA. Starting near the Convention Center, to downtown, the Glass Museum, then the UW Tacoma ...",2024-01-23 19:31:57.715854
/watch?v=8j4SiI2apps&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,The Pantry / UW Tacoma,462,5 years,"The Pantry exists to provide supplemental, nutritional, and culturally relevant food as well as hygiene items to all UWT students on ...",2024-01-23 19:31:57.718204
/watch?v=jseq_4N31HQ&pp=ygUJdXcgdGFjb21h,/@kiro7,KIRO 7 News,VIDEO: UW-Tacoma tells CBP they are no longer welcome at school career fair,1.5K,3 years,VIDEO: UW-Tacoma tells CBP they are no longer welcome at school career fair.,2024-01-23 19:31:57.720829
/watch?v=CKaYpq1N2uA&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,Milgard Hall Construction Timelapse 2022 - UW Tacoma,858,1 year,The University of Washington Tacoma / Be Boundless Website: http://www.tacoma.uw.edu Facebook: ...,2024-01-23 19:31:57.723172
/watch?v=6JINl5K4IE4&pp=ygUJdXcgdGFjb21h,/@UWTacomaExtended,UW Tacoma Extended,UW Tacoma Campus Update January 2023,619,1 year,The University of Washington Tacoma / Be Boundless Website: http://www.tacoma.uw.edu Facebook: ...,2024-01-23 19:31:57.725566
/watch?v=WyeFsTlDZy4&pp=ygUJdXcgdGFjb21h,/@UWVideo,UW Video,UW Tacoma,1.3K,8 years,"Every day at the University of Washington, thousands of people pick a perch on campus to settle down and study, work, or relax.",2024-01-23 19:31:57.728187
/watch?v=n5RaiAXAEtM&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,Student Study Spaces / UW Tacoma,2.1K,2 years,https://www.tacoma.uw.edu/uuf/campus-study-spaces --- The University of Washington Tacoma / Be Boundless Website: ...,2024-01-23 19:31:57.731260
/watch?v=QI50yL8rAIU&pp=ygUJdXcgdGFjb21h,/@universityofwashington,UW (University of Washington),The transformative power of UW Tacoma,2.5K,7 years,"Five years ago, Tom Rochat, '13, was foraging for mushrooms just to get by. Today, he's on the fast track to senior-level ...",2024-01-23 19:31:57.733579
/watch?v=8cNNCOdyQOU&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,Chancellor's Medalists - 2023 - Salese Clark & Exita Lealofi / UW Tacoma,220,7 months,The University of Washington Tacoma / Be Boundless Website: http://www.tacoma.uw.edu Facebook: ...,2024-01-23 19:32:06.863889
/watch?v=p6_rwxRhNbk&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,President's Medalist - 2023 - Samantha Smith / UW Tacoma,161,7 months,"Congratulations to this years medalist, Samantha Smith. The President's Medalist recognizes a graduating senior for their ...",2024-01-23 19:32:06.866712
/watch?v=n2wWMJiJWkY&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,Master of Accounting / UW Tacoma,870,4 years,Master of Accounting / UW Tacoma Learn about the program from the experience of students and alumni. Discover more at: ...,2024-01-23 19:32:06.869573
/watch?v=_xoXIdh7DjQ&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,From IT to SET / UW Tacoma,1.7K,4 years,--- The University of Washington Tacoma / Be Boundless Website: http://www.tacoma.uw.edu Facebook: ...,2024-01-23 19:32:06.873330
